Dataset,Classifier,Balancing,Feature Selection,Precision,Recall,AUC,Kappa,NPofB20
OPENJPA,RandomForest,No,No,0.7594,0.5463,0.9422,0.6116,0.9033
OPENJPA,RandomForest,OverSampling,No,0.6302,0.6674,0.9393,0.6195,0.8939
OPENJPA,RandomForest,No,Wrapper,0.7238,0.5136,0.9172,0.5749,0.8580
OPENJPA,RandomForest,OverSampling,Wrapper,0.5409,0.6492,0.9133,0.5542,0.8532
OPENJPA,NaiveBayes,No,No,0.3776,0.3751,0.7925,0.3271,0.6579
OPENJPA,NaiveBayes,OverSampling,No,0.3580,0.3985,0.7902,0.3250,0.6576
OPENJPA,NaiveBayes,No,Wrapper,0.4174,0.3640,0.7762,0.3440,0.6189
OPENJPA,NaiveBayes,OverSampling,Wrapper,0.3646,0.4357,0.7830,0.3446,0.6314
OPENJPA,IBk,No,No,0.4933,0.4639,0.7280,0.4382,0.5160
OPENJPA,IBk,OverSampling,No,0.4161,0.5282,0.7459,0.4177,0.5863
OPENJPA,IBk,No,Wrapper,0.6427,0.5652,0.8105,0.5719,0.6406
OPENJPA,IBk,OverSampling,Wrapper,0.4845,0.6401,0.8128,0.5104,0.6762
