class_name,feature,correlation,correlation_sign,C0,C1,delta_C1,relative_change_C1,impact_C1,C2,delta_C2,relative_change_C2,impact_C2,C3,delta_C3,relative_change_C3,impact_C3
LRUMap,LOC,0.2900,POSITIVE,104.00,108.00,4.00,0.04,POTENTIALLY_WORSE,124.00,20.00,0.19,POTENTIALLY_WORSE,123.00,19.00,0.18,POTENTIALLY_WORSE
LRUMap,Churn,0.2100,POSITIVE,200.00,200.00,0.00,0.00,UNCHANGED,200.00,0.00,0.00,UNCHANGED,200.00,0.00,0.00,UNCHANGED
LRUMap,WeightedAge,0.2000,POSITIVE,1379147.44,1379147.44,0.00,0.00,UNCHANGED,1379147.44,0.00,0.00,UNCHANGED,1379147.44,0.00,0.00,UNCHANGED
LRUMap,NAuth,0.2400,POSITIVE,5.00,5.00,0.00,0.00,UNCHANGED,5.00,0.00,0.00,UNCHANGED,5.00,0.00,0.00,UNCHANGED
LRUMap,NFix,0.2300,POSITIVE,6.00,6.00,0.00,0.00,UNCHANGED,6.00,0.00,0.00,UNCHANGED,6.00,0.00,0.00,UNCHANGED
LRUMap,AVG_ChgSet,-0.1800,NEGATIVE,1021.08,1021.08,0.00,0.00,UNCHANGED,1021.08,0.00,0.00,UNCHANGED,1021.08,0.00,0.00,UNCHANGED
LRUMap,ChgSetSize,-0.0400,NEGATIVE,13274.00,13274.00,0.00,0.00,UNCHANGED,13274.00,0.00,0.00,UNCHANGED,13274.00,0.00,0.00,UNCHANGED
LRUMap,Age,0.0400,POSITIVE,6895.74,6895.74,0.00,0.00,UNCHANGED,6895.74,0.00,0.00,UNCHANGED,6895.74,0.00,0.00,UNCHANGED
LRUMap,NR,0.1600,POSITIVE,13.00,13.00,0.00,0.00,UNCHANGED,13.00,0.00,0.00,UNCHANGED,13.00,0.00,0.00,UNCHANGED
LRUMap,MAX_ChgSet,-0.0100,NEGATIVE,4600.00,4600.00,0.00,0.00,UNCHANGED,4600.00,0.00,0.00,UNCHANGED,4600.00,0.00,0.00,UNCHANGED
Filters,LOC,0.2900,POSITIVE,1141.00,1171.00,30.00,0.03,POTENTIALLY_WORSE,1196.00,55.00,0.05,POTENTIALLY_WORSE,1196.00,55.00,0.05,POTENTIALLY_WORSE
Filters,Churn,0.2100,POSITIVE,3363.00,3363.00,0.00,0.00,UNCHANGED,3363.00,0.00,0.00,UNCHANGED,3363.00,0.00,0.00,UNCHANGED
Filters,WeightedAge,0.2000,POSITIVE,23149306.10,23149306.10,0.00,0.00,UNCHANGED,23149306.10,0.00,0.00,UNCHANGED,23149306.10,0.00,0.00,UNCHANGED
Filters,NAuth,0.2400,POSITIVE,12.00,12.00,0.00,0.00,UNCHANGED,12.00,0.00,0.00,UNCHANGED,12.00,0.00,0.00,UNCHANGED
Filters,NFix,0.2300,POSITIVE,28.00,28.00,0.00,0.00,UNCHANGED,28.00,0.00,0.00,UNCHANGED,28.00,0.00,0.00,UNCHANGED
Filters,AVG_ChgSet,-0.1800,NEGATIVE,335.38,335.38,0.00,0.00,UNCHANGED,335.38,0.00,0.00,UNCHANGED,335.38,0.00,0.00,UNCHANGED
Filters,ChgSetSize,-0.0400,NEGATIVE,14086.00,14086.00,0.00,0.00,UNCHANGED,14086.00,0.00,0.00,UNCHANGED,14086.00,0.00,0.00,UNCHANGED
Filters,Age,0.0400,POSITIVE,6883.53,6883.53,0.00,0.00,UNCHANGED,6883.53,0.00,0.00,UNCHANGED,6883.53,0.00,0.00,UNCHANGED
Filters,NR,0.1600,POSITIVE,42.00,42.00,0.00,0.00,UNCHANGED,42.00,0.00,0.00,UNCHANGED,42.00,0.00,0.00,UNCHANGED
Filters,MAX_ChgSet,-0.0100,NEGATIVE,4600.00,4600.00,0.00,0.00,UNCHANGED,4600.00,0.00,0.00,UNCHANGED,4600.00,0.00,0.00,UNCHANGED
